"id","type","affix_kind","word_text","sort_order","enabled","sub_category","visual_tag","industry_tag","is_manual","is_temporary","approval_status"
"69","brand","industry","品牌","10","1","主体词","NULL","NULL","0","0","approved"
"70","brand","industry","厂家","20","1","主体词","NULL","NULL","0","0","approved"
"71","brand","industry","厂商","30","0","NULL","NULL","NULL","0","0","approved"
"73","brand","industry","公司","50","1","主体词","NULL","NULL","0","0","approved"
"74","brand","industry","集团","60","1","主体词","NULL","NULL","0","0","approved"
"770","brand","industry","产品","90","1","主体词","NULL","NULL","0","0","approved"
"771","brand","industry","这个牌子","100","1","主体词","NULL","NULL","0","0","approved"
"87","brand","industry","老字号","190","1","品质特征","NULL","NULL","0","0","approved"
"88","brand","industry","工作室","200","1","主体词","NULL","NULL","0","0","approved"
"293","brand","prefix","口碑好的","10","1","正向评价类","NULL","NULL","0","0","approved"
"294","brand","prefix","知名的","20","1","正向评价类","NULL","NULL","0","0","approved"
"295","brand","prefix","排名前十的","30","1","品质特征类","NULL","NULL","0","0","approved"
"296","brand","prefix","十大","40","0","NULL","NULL","NULL","0","0","approved"
"297","brand","prefix","最好的","50","0","NULL","NULL","NULL","0","0","approved"
"298","brand","prefix","头部","60","1","品质特征类","NULL","NULL","0","0","approved"
"299","brand","prefix","领先的","70","1","品质特征类","NULL","NULL","0","0","approved"
"300","brand","prefix","大品牌","80","1","品质特征类","NULL","NULL","0","0","approved"
"301","brand","prefix","老牌","90","1","品质特征类","NULL","NULL","0","0","approved"
"302","brand","prefix","新锐","100","1","品质特征类","NULL","NULL","0","0","approved"
"303","brand","prefix","高端","110","1","品质特征类","NULL","NULL","0","0","approved"
"304","brand","prefix","性价比高的","120","1","正向评价类","NULL","NULL","0","0","approved"
"305","brand","prefix","国产","130","1","来源类","NULL","NULL","0","0","approved"
"306","brand","prefix","进口","140","1","来源类","NULL","NULL","0","0","approved"
"307","brand","prefix","本土","150","1","来源类","NULL","NULL","0","0","approved"
"308","brand","prefix","全国连锁","160","1","规模类","NULL","NULL","0","0","approved"
"309","brand","prefix","上市","170","1","资质类","NULL","NULL","0","0","approved"
"310","brand","prefix","500强","180","1","资质类","NULL","NULL","0","0","approved"
"311","brand","prefix","一线","190","1","品质特征类","NULL","NULL","0","0","approved"
"312","brand","prefix","二线","200","1","品质特征类","NULL","NULL","0","0","approved"
"313","brand","prefix","小众但好用的","210","0","NULL","NULL","NULL","0","0","approved"
"314","brand","prefix","央企","220","1","资质类","NULL","NULL","0","0","approved"
"315","brand","prefix","国企","230","1","资质类","NULL","NULL","0","0","approved"
"316","brand","prefix","民营","240","1","资质类","NULL","NULL","0","0","approved"
"317","brand","prefix","龙头","250","1","品质特征类","NULL","NULL","0","0","approved"
"766","brand","prefix","靠谱的","400","1","正向评价类","NULL","NULL","0","0","approved"
"767","brand","prefix","专业的","410","1","正向评价类","NULL","NULL","0","0","approved"
"768","brand","prefix","评价高的","420","1","正向评价类","NULL","NULL","0","0","approved"
"769","brand","prefix","优秀的","430","1","正向评价类","NULL","NULL","0","0","approved"
"329","brand","suffix","品牌有哪些","60","1","了解类","NULL","NULL","0","0","approved"
"333","brand","suffix","品牌top10","100","0","NULL","NULL","NULL","0","0","approved"
"337","brand","suffix","知名品牌","140","0","NULL","NULL","NULL","0","0","approved"
"346","brand","suffix","老牌子有哪些","230","1","了解类","NULL","NULL","0","0","approved"
"772","brand","suffix","怎么样","500","1","了解类","NULL","NULL","0","0","approved"
"773","brand","suffix","是什么","510","1","了解类","NULL","NULL","0","0","approved"
"774","brand","suffix","介绍","520","1","了解类","NULL","NULL","0","0","approved"
"775","brand","suffix","简介","530","1","了解类","NULL","NULL","0","0","approved"
"776","brand","suffix","好不好","540","1","了解类","NULL","NULL","0","0","approved"
"777","brand","suffix","有名吗","550","1","了解类","NULL","NULL","0","0","approved"
"778","brand","suffix","口碑如何","600","1","评价类","NULL","NULL","0","0","approved"
"779","brand","suffix","靠不靠谱","610","1","评价类","NULL","NULL","0","0","approved"
"780","brand","suffix","质量怎么样","620","1","评价类","NULL","NULL","0","0","approved"
"781","brand","suffix","评价","630","1","评价类","NULL","NULL","0","0","approved"
"782","brand","suffix","值不值得买","640","1","评价类","NULL","NULL","0","0","approved"
"783","brand","suffix","是哪里的","700","1","归属类","NULL","NULL","0","0","approved"
"784","brand","suffix","是哪个公司的","710","1","归属类","NULL","NULL","0","0","approved"
"785","brand","suffix","是什么牌子","720","1","归属类","NULL","NULL","0","0","approved"
"786","brand","suffix","哪里生产的","730","1","归属类","NULL","NULL","0","0","approved"
"716","comparison","compare","和","10","1","对比连接词","NULL","NULL","0","0","approved"
"717","comparison","compare","对比","20","1","对比连接词","NULL","NULL","0","0","approved"
"718","comparison","compare","与","30","1","对比连接词","NULL","NULL","0","0","approved"
"719","comparison","compare","VS","40","1","对比连接词","NULL","NULL","0","0","approved"
"720","comparison","compare","比较","50","1","对比连接词","NULL","NULL","0","0","approved"
"721","comparison","compare","相比","60","1","对比连接词","NULL","NULL","0","0","approved"
"224","comparison","industry","产品","10","0","NULL","NULL","NULL","0","0","approved"
"225","comparison","industry","方案","20","0","NULL","NULL","NULL","0","0","approved"
"226","comparison","industry","平台","30","0","NULL","NULL","NULL","0","0","approved"
"227","comparison","industry","工具","40","0","NULL","NULL","NULL","0","0","approved"
"228","comparison","industry","软件","50","0","NULL","NULL","NULL","0","0","approved"
"229","comparison","industry","系统","60","0","NULL","NULL","NULL","0","0","approved"
"230","comparison","industry","服务","70","0","NULL","NULL","NULL","0","0","approved"
"231","comparison","industry","机构","80","0","NULL","NULL","NULL","0","0","approved"
"232","comparison","industry","品牌","90","0","NULL","NULL","NULL","0","0","approved"
"233","comparison","industry","供应商","100","0","NULL","NULL","NULL","0","0","approved"
"234","comparison","industry","框架","110","0","NULL","NULL","NULL","0","0","approved"
"235","comparison","industry","技术","120","0","NULL","NULL","NULL","0","0","approved"
"236","comparison","industry","模式","130","0","NULL","NULL","NULL","0","0","approved"
"237","comparison","industry","标准","140","0","NULL","NULL","NULL","0","0","approved"
"238","comparison","industry","协议","150","0","NULL","NULL","NULL","0","0","approved"
"239","comparison","industry","开源方案","160","0","NULL","NULL","NULL","0","0","approved"
