2026-04-16 11:17:44.460 [background-preinit] INFO  [] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-04-16 11:17:44.492 [main] INFO  [] com.huanjing.geo.GeoApplication - Starting GeoApplication using Java 21.0.9 with PID 4908 (D:\code\sanhe-geo-project\geo-project\geo-server\target\classes started by Administrator in D:\code\sanhe-geo-project\geo-project\geo-server)
2026-04-16 11:17:44.492 [main] INFO  [] com.huanjing.geo.GeoApplication - The following 1 profile is active: "dev"
2026-04-16 11:17:45.075 [main] INFO  [] o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-04-16 11:17:45.077 [main] INFO  [] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-04-16 11:17:45.098 [main] INFO  [] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 12 ms. Found 0 Redis repository interfaces.
2026-04-16 11:17:45.578 [main] INFO  [] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-04-16 11:17:45.587 [main] INFO  [] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-04-16 11:17:45.588 [main] INFO  [] o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-04-16 11:17:45.589 [main] INFO  [] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2026-04-16 11:17:45.643 [main] INFO  [] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-04-16 11:17:45.643 [main] INFO  [] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1121 ms
2026-04-16 11:17:45.808 [main] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-04-16 11:17:45.907 [main] INFO  [] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@d76099a
2026-04-16 11:17:45.908 [main] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-04-16 11:17:45.962 [main] INFO  [] o.f.c.i.license.VersionPrinter - Flyway Community Edition 9.22.3 by Redgate
2026-04-16 11:17:45.962 [main] INFO  [] o.f.c.i.license.VersionPrinter - See release notes here: https://rd.gt/416ObMi
2026-04-16 11:17:45.962 [main] INFO  [] o.f.c.i.license.VersionPrinter - 
2026-04-16 11:17:45.974 [main] INFO  [] org.flywaydb.core.FlywayExecutor - Database: jdbc:mysql://localhost:3306/geo (MySQL 8.0)
2026-04-16 11:17:46.015 [main] INFO  [] o.f.core.internal.command.DbValidate - Successfully validated 54 migrations (execution time 00:00.032s)
2026-04-16 11:17:46.023 [main] INFO  [] o.f.core.internal.command.DbMigrate - Current version of schema `geo`: 52
2026-04-16 11:17:46.031 [main] INFO  [] o.f.core.internal.command.DbMigrate - Migrating schema `geo` to version "53 - phase32 keyword group result storage"
2026-04-16 11:17:46.058 [main] INFO  [] o.f.core.internal.command.DbMigrate - Successfully applied 1 migration to schema `geo`, now at version v53 (execution time 00:00.015s)
